sentiment,text,clean_text,sentiment_confidence,topic
positive,Stuning even for the non-gamer: This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen! ^_^,stune even nongam sound track beauti paint seneri mind well would recomend even peopl hate vid game music play game chrono cross game ever play best music back away crude keyboard take fresher step grate guitar soul orchestra would impress anyon care listen,0.9993,538
positive,"The best soundtrack ever to anything.: I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit. This in my opinino is Yasunori Mitsuda's ultimate masterpiece. The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny.",best soundtrack ever anyth im read lot review say best game soundtrack figur id write review disagre bit opinino yasunori mitsuda ultim masterpiec music timeless im listen year beauti simpli refus fadeth price tag pretti stagger must say go buy cd much money one feel would worth everi penni,0.9981,55
positive,"Amazing!: This soundtrack is my favorite music of all time, hands down. The intense sadness of ""Prisoners of Fate"" (which means all the more if you've played the game) and the hope in ""A Distant Promise"" and ""Girl who Stole the Star"" have been an important inspiration to me personally throughout my teen years. The higher energy tracks like ""Chrono Cross ~ Time's Scar~"", ""Time of the Dreamwatch"", and ""Chronomantique"" (indefinably remeniscent of Chrono Trigger) are all absolutely superb as well.This soundtrack is amazing music, probably the best of this composer's work (I haven't heard the Xenogears soundtrack, so I can't say for sure), and even if you've never played the game, it would be worth twice the price to buy it.I wish I could give it 6 stars.",amaz soundtrack favorit music time hand intens sad prison fate mean youv play game hope distant promis girl stole star import inspir person throughout teen year higher energi track like chrono cross time scar time dreamwatch chronomantiqu indefin remenisc chrono trigger absolut superb wellthi soundtrack amaz music probabl best compos work havent heard xenogear soundtrack cant say sure even youv never play game would worth twice price buy iti wish could give 6 star,0.9998,55
positive,"Excellent Soundtrack: I truly like this soundtrack and I enjoy video game music. I have played this game and most of the music on here I enjoy and it's truly relaxing and peaceful.On disk one. my favorites are Scars Of Time, Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons, Lost Fragment, and Drowned Valley.Disk Two: The Draggons, Galdorb - Home, Chronomantique, Prisoners of Fate, Gale, and my girlfriend likes ZelbessDisk Three: The best of the three. Garden Of God, Chronopolis, Fates, Jellyfish sea, Burning Orphange, Dragon's Prayer, Tower Of Stars, Dragon God, and Radical Dreamers - Unstealable Jewel.Overall, this is a excellent soundtrack and should be brought by those that like video game music.Xander Cross",excel soundtrack truli like soundtrack enjoy video game music play game music enjoy truli relax peacefulon disk one favorit scar time life death forest illus fortress ancient dragon lost fragment drown valleydisk two draggon galdorb home chronomantiqu prison fate gale girlfriend like zelbessdisk three best three garden god chronopoli fate jellyfish sea burn orphang dragon prayer tower star dragon god radic dreamer unsteal jeweloveral excel soundtrack brought like video game musicxand cross,0.9999,55
positive,"Remember, Pull Your Jaw Off The Floor After Hearing it: If you've played the game, you know how divine the music is! Every single song tells a story of the game, it's that good! The greatest songs are without a doubt, Chrono Cross: Time's Scar, Magical Dreamers: The Wind, The Stars, and the Sea and Radical Dreamers: Unstolen Jewel. (Translation varies) This music is perfect if you ask me, the best it can be. Yasunori Mitsuda just poured his heart on and wrote it down on paper.",rememb pull jaw floor hear youv play game know divin music everi singl song tell stori game good greatest song without doubt chrono cross time scar magic dreamer wind star sea radic dreamer unstolen jewel translat vari music perfect ask best yasunori mitsuda pour heart wrote paper,0.9997,55
positive,"an absolute masterpiece: I am quite sure any of you actually taking the time to read this have played the game at least once, and heard at least a few of the tracks here. And whether you were aware of it or not, Mitsuda's music contributed greatly to the mood of every single minute of the whole game.Composed of 3 CDs and quite a few songs (I haven't an exact count), all of which are heart-rendering and impressively remarkable, this soundtrack is one I assure you you will not forget. It has everything for every listener -- from fast-paced and energetic (Dancing the Tokage or Termina Home), to slower and more haunting (Dragon God), to purely beautifully composed (Time's Scar), to even some fantastic vocals (Radical Dreamers).This is one of the best videogame soundtracks out there, and surely Mitsuda's best ever. ^_^",absolut masterpiec quit sure actual take time read play game least heard least track whether awar mitsuda music contribut great mood everi singl minut whole gamecompos 3 cds quit song havent exact count heartrend impress remark soundtrack one assur forget everyth everi listen fastpac energet danc tokag termina home slower haunt dragon god pure beauti compos time scar even fantast vocal radic dreamersthi one best videogam soundtrack sure mitsuda best ever,0.9999,-1
negative,"Buyer beware: This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms. Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another. It is most definitely bad enough to be entered into some kind of a ""worst book"" contest. I can't believe Amazon even sells this kind of thing. Maybe I can offer them my 8th grade term paper on ""To Kill a Mockingbird""--a book I am quite sure Ms. Haddon never heard of. Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!",buyer bewar selfpublish book want know whyread paragraph 5 star review must written ms haddon famili friendsor perhap cant imagin anyon read whole thingi spent even book friend hyster read bit piec one anoth definit bad enough enter kind worst book contest cant believ amazon even sell kind thing mayb offer 8th grade term paper kill mockingbirda book quit sure ms haddon never heard anyway unless mood send book someon jokestay far far away one,0.9998,-1
positive,"Glorious story: I loved Whisper of the wicked saints. The story was amazing and I was pleasantly surprised at the changes in the book. I am not normaly someone who is into romance novels, but the world was raving about this book and so I bought it. I loved it !! This is a brilliant story because it is so true. This book was so wonderful that I have told all of my friends to read it. It is not a typical romance, it is so much more. Not reading this book is a crime, becuase you are missing out on a heart warming story.",glorious stori love whisper wick saint stori amaz pleasant surpris chang book normali someon romanc novel world rave book bought love brilliant stori true book wonder told friend read typic romanc much read book crime becuas miss heart warm stori,0.9998,-1
positive,"A FIVE STAR BOOK: I just finished reading Whisper of the Wicked saints. I fell in love with the caracters. I expected an average romance read, but instead I found one of my favorite books of all time. Just when I thought I could predict the outcome I was shocked ! The writting was so descriptive that my heart broke when Julia's did and I felt as if I was there with them instead of just a distant reader. If you are a lover of romance novels then this is a must read. Don't let the cover fool you this book is spectacular!",five star book finish read whisper wick saint fell love caract expect averag romanc read instead found one favorit book time thought could predict outcom shock writ descript heart broke julia felt instead distant reader lover romanc novel must read dont let cover fool book spectacular,0.9986,412
positive,"Whispers of the Wicked Saints: This was a easy to read book that made me want to keep reading on and on, not easy to put down.It left me wanting to read the follow on, which I hope is coming soon. I used to read a lot but have gotten away from it. This book made me want to read again. Very enjoyable.",whisper wick saint easi read book made want keep read easi put downit left want read follow hope come soon use read lot gotten away book made want read enjoy,0.9995,188
